,제조사,모델,연식,주행거리,연료,변속기,기통,구동방식,등급,유형,색상,상태,가격
24160,mazda,6,2006.0,213997,휘발유,자동,6,후륜구동,중형,세단,흰색,훌륭함,4198800
24161,lexus,rx 450h awd 4dr,2020.0,724,하이브리드,자동,6,사륜구동,중형,SUV,은색,새거,70500000
24162,gmc,yukon xl,2009.0,289620,휘발유,자동,8,사륜구동,대형,SUV,흰색,새거같음,9840000
24163,chevrolet,camaro ss w/2ss,2011.0,159931,휘발유,자동,8,전륜구동,중형,쿠페,검은색,새거같음,21588000
24164,chevrolet,volt premier,2013.0,133547,전기차,자동,other,후륜구동,준중형,세단,흰색,훌륭함,12600000
24165,chevrolet,impala lt,2010.0,315364,휘발유,자동,6,후륜구동,중형,세단,검은색,나쁨,2400000
24166,mazda,3,2009.0,288011,휘발유,자동,6,후륜구동,준중형,세단,흰색,좋음,3960000
24167,chevrolet,el camino,1979.0,128720,휘발유,수동,8,전륜구동,중형,픽업트럭,빨간색,새거같음,57600000
24168,ford,f-150,2000.0,202734,휘발유,자동,8,전륜구동,대형,트럭,회색,훌륭함,8400000
24169,chevrolet,captiva ltz,2013.0,128076,휘발유,자동,4,후륜구동,중형,SUV,은색,훌륭함,10200000
24170,dodge,challenger rt,2009.0,119066,휘발유,수동,8,전륜구동,대형,쿠페,주황색,새거같음,19800000
24171,ford,super duty f-350 drw,2016.0,176618,경유,자동,8,사륜구동,대형,트럭,회색,좋음,32388000
24172,ford,super duty f-550 drw,2006.0,128773,경유,자동,8,사륜구동,대형,트럭,빨간색,좋음,32388000
24173,ram,5500,2016.0,58382,경유,자동,6,사륜구동,대형,트럭,검은색,좋음,63588000
24174,gmc,savana cargo van,2017.0,105579,휘발유,자동,8,전륜구동,중형,밴,빨간색,좋음,26388000
24175,ram,5500,2011.0,158613,경유,자동,6,사륜구동,대형,트럭,흰색,좋음,43188000
24176,ford,super duty f-650 straight frame,2016.0,171456,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,41988000
24177,ford,super duty f-650 straight frame,2016.0,174257,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,41988000
24178,ford,super duty f-650 straight frame,2016.0,166266,경유,자동,8,전륜구동,대형,트럭,흰색,좋음,41988000
24179,ford,f-350 sd,2008.0,110771,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,26388000
24180,ford,econoline cargo van,2008.0,134285,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,33588000
24181,ford,super duty f-350 drw,2015.0,64747,경유,자동,8,사륜구동,대형,트럭,은색,좋음,50388000
24182,chevrolet,cc4500,2006.0,178489,휘발유,자동,8,전륜구동,대형,트럭,흰색,좋음,29988000
24183,chevrolet,silverado 3500hd,2013.0,280126,휘발유,자동,8,사륜구동,대형,트럭,흰색,좋음,21588000
24184,ford,super duty f-450 drw,2012.0,89495,휘발유,자동,10,사륜구동,대형,트럭,흰색,좋음,38388000
24185,ford,f150 supercrew,2015.0,183937,휘발유,자동,6,사륜구동,대형,픽업트럭,흰색,훌륭함,28140000
24186,toyota,camry se,2014.0,117566,휘발유,자동,4,후륜구동,중형,세단,흰색,새거같음,16194000
24187,chevrolet,equinox lt,2013.0,151973,휘발유,자동,4,후륜구동,중형,SUV,흰색,훌륭함,13110000
24188,chevrolet,caprice,1991.0,271921,휘발유,자동,8,전륜구동,대형,웨건,파란색,좋음,2160000
24189,jeep,wrangler unlimited,2012.0,217215,휘발유,수동,6,사륜구동,대형,SUV,갈색,좋음,25800000
24190,gmc,sierra 2500hd,2002.0,688652,경유,자동,8,사륜구동,대형,트럭,빨간색,나쁨,8400000
24191,nissan,altima,2009.0,220830,휘발유,자동,6,후륜구동,중형,쿠페,회색,훌륭함,3000000
24192,jeep,commander,2006.0,262910,휘발유,자동,8,사륜구동,대형,SUV,초록색,좋음,7080000
24193,chevrolet,corvette,2004.0,25454,휘발유,수동,8,전륜구동,대형,쿠페,파란색,훌륭함,27000000
24194,ford,e250,2006.0,161757,휘발유,자동,8,전륜구동,대형,밴,흰색,훌륭함,9480000
24195,dodge,caravan,2012.0,80852,휘발유,자동,6,후륜구동,중형,미니밴,은색,훌륭함,24600000
24196,honda,odyssey,2010.0,172967,휘발유,자동,6,후륜구동,중형,밴,회색,훌륭함,19800000
24197,chevrolet,express 1500 cargo van awd,2012.0,289702,휘발유,자동,8,사륜구동,대형,밴,흰색,훌륭함,11880000
24198,ford,escape w meyer snow plow,2006.0,254164,휘발유,자동,6,사륜구동,중형,SUV,흰색,훌륭함,7140000
24199,gmc,sierra 4x4 western plow,2000.0,216145,휘발유,자동,8,사륜구동,대형,트럭,회색,훌륭함,11940000
24200,mazda,mazda3,2017.0,94374,휘발유,자동,4,후륜구동,준중형,해치백,은색,훌륭함,17160000
24201,ford,f-250 super duty,2011.0,68382,휘발유,자동,8,사륜구동,대형,트럭,흰색,새거같음,42000000
24202,lincoln,town car,2003.0,278357,휘발유,자동,8,전륜구동,대형,세단,갈색,좋음,3360000
24203,cadillac,cts,2014.0,91713,휘발유,자동,4,사륜구동,대형,세단,흰색,훌륭함,21000000
24204,chevrolet,silverado 1500,2017.0,68770,휘발유,자동,8,사륜구동,대형,트럭,검은색,새거같음,38396400
24205,cadillac,srx,2015.0,113996,휘발유,자동,6,사륜구동,중형,SUV,노란색,새거같음,25196400
24206,gmc,acadia denali,2011.0,126546,휘발유,자동,6,후륜구동,중형,SUV,흰색,새거같음,19196400
24207,volkswagen,passat,2015.0,75170,경유,자동,4,후륜구동,대형,세단,빨간색,새거같음,17996400
24208,kia,sportage,2015.0,89320,휘발유,자동,4,사륜구동,중형,SUV,검은색,새거같음,17996400
24209,mitsubishi,outlander,2015.0,59901,휘발유,자동,4,사륜구동,중형,SUV,파란색,새거같음,17996400
24210,subaru,legacy 2.5i premium,2010.0,304101,휘발유,자동,4,사륜구동,대형,세단,갈색,좋음,5400000
24211,toyota,sienna,2014.0,178002,휘발유,자동,6,사륜구동,중형,미니밴,빨간색,새거같음,19196400
24212,ford,fiesta se,2013.0,242959,휘발유,자동,4,후륜구동,준중형,세단,검은색,좋음,4680000
24213,dodge,grand caravan sxt,2013.0,223651,휘발유,자동,6,후륜구동,대형,미니밴,은색,훌륭함,70800000
24214,ford,escape,2017.0,103363,휘발유,자동,4,사륜구동,중형,SUV,은색,새거같음,21596400
24215,ford,focus se,2013.0,197907,휘발유,자동,4,후륜구동,중형,세단,은색,좋음,5880000
24216,hyundai,veloster,2016.0,35163,휘발유,자동,4,후륜구동,중형,쿠페,흰색,새거같음,19196400
24217,jeep,grand cherokee,2013.0,114012,휘발유,자동,6,사륜구동,중형,SUV,검은색,새거같음,21596400
24218,gmc,sierra 1500,2017.0,89571,휘발유,자동,8,사륜구동,대형,트럭,빨간색,새거같음,47996400
24219,gmc,canyon crew cab,2017.0,79804,휘발유,자동,4,사륜구동,중형,트럭,빨간색,새거같음,39596400
24220,nissan,rogue,2015.0,79161,휘발유,자동,4,후륜구동,중형,SUV,검은색,새거같음,19196400
24221,dodge,journey,2017.0,70118,휘발유,자동,6,후륜구동,중형,SUV,빨간색,새거같음,19196400
24222,chevrolet,silverado,2015.0,94430,휘발유,자동,6,사륜구동,대형,트럭,은색,새거같음,32396400
24223,gmc,sierra,2015.0,82285,휘발유,자동,8,사륜구동,대형,트럭,회색,새거같음,44396400
24224,chevrolet,cruze lt,2017.0,47978,휘발유,자동,4,후륜구동,중형,세단,빨간색,새거같음,17996400
24225,dodge,grand caravan sxt,2019.0,67756,휘발유,자동,6,후륜구동,중형,미니밴,빨간색,새거같음,21596400
24226,ford,focus zx4,2005.0,186121,휘발유,자동,4,후륜구동,준중형,세단,흰색,좋음,3000000
24227,pontiac,grand am,2004.0,173337,휘발유,자동,6,후륜구동,대형,세단,흰색,훌륭함,3594000
24228,chrysler,lhs,2000.0,218019,휘발유,자동,6,후륜구동,중형,세단,검은색,좋음,3000000
24229,bmw,325i,1989.0,312580,휘발유,자동,6,전륜구동,준중형,쿠페,흰색,나쁨,3000000
24230,ford,escape snow plow,2006.0,252970,휘발유,자동,6,사륜구동,중형,SUV,흰색,훌륭함,8340000
24231,honda,fit sport,2008.0,175381,휘발유,자동,4,후륜구동,준중형,해치백,검은색,훌륭함,7194000
24232,toyota,corolla s,2007.0,181817,휘발유,자동,4,후륜구동,준중형,세단,빨간색,훌륭함,7074000
24233,ford,escort,2000.0,247383,휘발유,자동,4,후륜구동,대형,세단,은색,좋음,1800000
24234,mercury,grand marquis,2002.0,342581,휘발유,자동,8,후륜구동,대형,세단,파란색,좋음,2400000
24235,honda,accord,2010.0,212870,휘발유,자동,6,후륜구동,중형,세단,검은색,좋음,5940000
24236,toyota,fj cruiser,2008.0,203538,휘발유,자동,6,사륜구동,대형,오프로드,흰색,훌륭함,23400000
24237,pontiac,grand am,2004.0,173337,휘발유,자동,8,후륜구동,대형,세단,흰색,새거같음,3594000
24238,toyota,sienna,2004.0,426222,휘발유,자동,6,후륜구동,대형,미니밴,흰색,좋음,2994000
24239,subaru,outback sedan,2000.0,240545,휘발유,자동,4,사륜구동,중형,오프로드,검은색,좋음,4320000
24240,buick,encore,2018.0,30456,휘발유,자동,4,후륜구동,중형,SUV,빨간색,새거같음,20396400
24241,chrysler,200,2011.0,141738,휘발유,자동,6,후륜구동,중형,세단,검은색,훌륭함,8396400
24242,gmc,acadia denali,2015.0,83167,휘발유,자동,6,후륜구동,중형,SUV,은색,새거같음,28796400
24243,jeep,grand cherokee,2002.0,157682,휘발유,자동,8,전륜구동,대형,SUV,빨간색,나쁨,4200000
24244,mazda,6 i sport,2009.0,248172,휘발유,자동,4,사륜구동,대형,세단,파란색,좋음,5994000
24245,lincoln,town car,2002.0,233861,휘발유,자동,8,전륜구동,대형,세단,은색,좋음,2874000
24246,ford,focus,2010.0,125502,휘발유,자동,4,후륜구동,준중형,세단,빨간색,훌륭함,7194000
24247,chevrolet,colorado z71,2016.0,56426,휘발유,자동,6,사륜구동,중형,트럭,파란색,새거같음,35996400
24248,gmc,sierra 1500,2017.0,89571,휘발유,자동,8,사륜구동,대형,트럭,빨간색,새거같음,47996400
24249,toyota,camry,2006.0,344647,휘발유,자동,6,후륜구동,대형,세단,회색,훌륭함,3600000
24250,toyota,corolla le,2006.0,193080,휘발유,자동,4,후륜구동,대형,세단,은색,좋음,5400000
24251,chevrolet,cavalier,2002.0,296056,휘발유,자동,4,후륜구동,중형,쿠페,빨간색,좋음,3000000
24252,saturn,sl1,1998.0,460174,휘발유,수동,4,후륜구동,중형,세단,파란색,좋음,2340000
24253,pontiac,sunfire,2000.0,271921,휘발유,자동,4,후륜구동,중형,쿠페,초록색,좋음,1980000
24254,kia,sedona,2005.0,230087,휘발유,자동,6,후륜구동,중형,미니밴,은색,좋음,2940000
24255,ram,2500,2006.0,205952,경유,자동,6,사륜구동,대형,트럭,흰색,훌륭함,22200000
24256,ram,2500,2011.0,207561,휘발유,자동,8,사륜구동,대형,트럭,흰색,훌륭함,24000000
24257,subaru,xv crosstrek,2014.0,230087,휘발유,자동,4,사륜구동,중형,웨건,주황색,훌륭함,13200000
24258,ford,f150 fx4,2006.0,299274,휘발유,자동,8,사륜구동,대형,트럭,검은색,훌륭함,11280000
24259,chevrolet,silverado,2009.0,226869,휘발유,자동,8,사륜구동,대형,트럭,은색,좋음,15600000
24260,chevrolet,silverado 3500hd,2013.0,249395,경유,자동,8,전륜구동,대형,트럭,흰색,훌륭함,25800000
24261,chevrolet,silverado k1500,1988.0,215606,휘발유,자동,8,사륜구동,대형,트럭,빨간색,훌륭함,12600000
24262,chevrolet,impala,2019.0,30571,휘발유,자동,6,후륜구동,대형,세단,파란색,새거같음,26280000
24263,ford,f150 xl,2013.0,201125,휘발유,자동,6,전륜구동,대형,트럭,흰색,훌륭함,14394000
24264,chevrolet,malibu,2008.0,173772,휘발유,자동,4,후륜구동,중형,세단,회색,새거같음,9360000
24265,buick,lesabre custom,2004.0,268513,휘발유,자동,6,후륜구동,대형,세단,검은색,좋음,2994000
24266,buick,lesabre,2003.0,241108,휘발유,자동,6,후륜구동,대형,세단,빨간색,좋음,3114000
24267,toyota,corolla,2008.0,411025,휘발유,자동,4,후륜구동,준중형,세단,흰색,좋음,3480000
24268,ford,five hundred sel,2006.0,292274,휘발유,자동,6,후륜구동,대형,세단,검은색,좋음,3594000
24269,gmc,envoy,2004.0,340998,휘발유,자동,6,사륜구동,대형,SUV,흰색,좋음,3594000
24270,toyota,camry le,2007.0,276748,휘발유,자동,4,후륜구동,대형,세단,은색,좋음,5400000
24271,audi,s5,2011.0,151246,휘발유,자동,8,사륜구동,중형,쿠페,검은색,새거같음,21519600
24272,chevrolet,camaro,2019.0,51488,휘발유,자동,6,전륜구동,준중형,쿠페,검은색,새거같음,31800000
24273,chevrolet,cobalt,2006.0,281575,휘발유,자동,4,후륜구동,중형,세단,은색,좋음,4260000
24274,pontiac,sunfire,2002.0,310537,휘발유,자동,4,후륜구동,중형,세단,파란색,좋음,3300000
24275,dodge,dakota sport,1999.0,246177,휘발유,수동,6,전륜구동,중형,트럭,흰색,좋음,2940000
24276,ford,f-150,1996.0,413513,휘발유,자동,6,사륜구동,대형,트럭,초록색,좋음,3180000
24277,pontiac,montana sv6,2006.0,237039,휘발유,자동,6,후륜구동,대형,밴,회색,좋음,4194000
24278,kia,optima,2009.0,254302,휘발유,수동,4,후륜구동,대형,세단,빨간색,좋음,4680000
24279,gmc,envoy xl,2004.0,340998,휘발유,자동,6,후륜구동,대형,SUV,흰색,좋음,2994000
24280,mazda,6,2009.0,248172,휘발유,자동,4,후륜구동,대형,세단,파란색,좋음,5994000
24281,toyota,corolla,2008.0,411025,휘발유,자동,4,후륜구동,준중형,세단,흰색,좋음,3480000
24282,toyota,avalon,2008.0,257440,휘발유,자동,6,후륜구동,대형,세단,회색,훌륭함,7800000
24283,jeep,wrangler unlimited sahara,2008.0,259049,휘발유,수동,6,사륜구동,대형,SUV,초록색,좋음,13080000
24284,toyota,camry le,2009.0,326627,휘발유,자동,4,후륜구동,대형,세단,은색,좋음,4680000
24285,chevrolet,cobalt,2009.0,172163,휘발유,자동,4,후륜구동,중형,세단,빨간색,좋음,3300000
24286,acura,rdx sh-awd,2008.0,297665,휘발유,자동,4,사륜구동,중형,SUV,검은색,훌륭함,5760000
24287,ram,2500,2012.0,353980,휘발유,자동,8,전륜구동,대형,트럭,노란색,훌륭함,7194000
24288,bmw,m3 convertible,2011.0,133386,휘발유,자동,8,전륜구동,중형,쿠페,파란색,훌륭함,23988000
24289,nissan,titan,2004.0,460230,휘발유,자동,8,사륜구동,대형,트럭,빨간색,좋음,5580000
24290,bmw,325i sedan,2004.0,286974,휘발유,자동,6,전륜구동,중형,세단,은색,좋음,4800000
24291,chevrolet,tahoe ls,2001.0,497181,휘발유,자동,8,사륜구동,대형,SUV,초록색,좋음,3420000
24292,pontiac,grand prix,1994.0,413513,휘발유,자동,6,후륜구동,중형,세단,파란색,좋음,1140000
24293,dodge,nitro,2008.0,386160,휘발유,자동,6,사륜구동,대형,SUV,검은색,훌륭함,5760000
24294,ford,explorer,2013.0,316973,휘발유,자동,4,후륜구동,대형,SUV,검은색,좋음,6000000
24295,lincoln,mkz hybrid,2016.0,44701,하이브리드,자동,4,후륜구동,대형,세단,빨간색,좋음,18000000
24296,ford,f-150 crew cab 4x4,2010.0,164118,휘발유,자동,8,사륜구동,대형,SUV,빨간색,훌륭함,21480000
24297,chevrolet,equinox lt,2020.0,22526,휘발유,자동,4,후륜구동,대형,SUV,회색,새거같음,27480000
24298,chevrolet,silverado 1500,2014.0,170554,휘발유,자동,8,사륜구동,대형,SUV,흰색,훌륭함,32280000
24299,mitsubishi,mirage limited,2020.0,11906,휘발유,자동,4,후륜구동,준중형,해치백,검은색,새거같음,16680000
24300,honda,odyssey exl,2013.0,176990,휘발유,자동,6,전륜구동,중형,미니밴,검은색,훌륭함,17388000
24301,toyota,echo,2001.0,423167,휘발유,자동,4,후륜구동,중형,세단,초록색,좋음,2580000
24302,ford,escape,2017.0,103363,휘발유,자동,4,사륜구동,중형,SUV,은색,새거같음,21596400
24303,jeep,patriot,2011.0,238132,휘발유,수동,4,사륜구동,대형,SUV,파란색,훌륭함,5400000
24304,toyota,rav4,2007.0,363632,휘발유,자동,6,사륜구동,중형,SUV,검은색,새거같음,7196400
24305,toyota,prius,2014.0,263876,휘발유,자동,4,후륜구동,중형,해치백,회색,훌륭함,8280000
24306,toyota,sienna,2014.0,178002,휘발유,자동,6,사륜구동,중형,미니밴,빨간색,새거같음,19196400
24307,mitsubishi,outlander,2015.0,59901,휘발유,자동,4,사륜구동,중형,SUV,파란색,새거같음,17996400
24308,kia,sportage,2015.0,89320,휘발유,자동,4,사륜구동,중형,SUV,검은색,새거같음,17996400
24309,ford,f-150 xld,2014.0,276748,휘발유,자동,6,사륜구동,대형,픽업트럭,파란색,새거같음,21000000
24310,chevrolet,silverado 1500,2017.0,9475,휘발유,자동,8,사륜구동,대형,트럭,빨간색,새거같음,44396400
24311,chevrolet,3100,1955.0,120675,휘발유,수동,8,전륜구동,대형,픽업트럭,회색,좋음,16200000
24312,chevrolet,silverado 1500,2017.0,68770,휘발유,자동,8,사륜구동,중형,트럭,검은색,새거같음,38396400
24313,cadillac,srx,2015.0,113996,휘발유,자동,6,사륜구동,중형,SUV,흰색,새거같음,25196400
24314,gmc,acadia denali,2011.0,126546,휘발유,자동,6,후륜구동,중형,SUV,검은색,새거같음,19196400
24315,volkswagen,passat,2015.0,75170,경유,자동,4,후륜구동,대형,세단,빨간색,새거같음,17996400
24316,kia,sportage,2015.0,89320,휘발유,자동,4,사륜구동,중형,SUV,검은색,새거같음,17996400
24317,ford,super duty f-550 drw,2012.0,364303,경유,자동,8,사륜구동,대형,트럭,흰색,훌륭함,26280000
24318,ram,2500,2014.0,375619,경유,자동,6,사륜구동,대형,트럭,은색,훌륭함,26280000
24319,ram,3500,2014.0,84419,경유,자동,6,사륜구동,대형,트럭,회색,훌륭함,41880000
24320,ram,2500,2017.0,210243,경유,자동,6,사륜구동,대형,트럭,은색,훌륭함,40680000
24321,ford,escape,2017.0,100145,휘발유,자동,4,사륜구동,중형,SUV,은색,새거같음,21596400
24322,nissan,altima sl,2015.0,99758,휘발유,자동,4,후륜구동,대형,세단,회색,훌륭함,7980000
24323,toyota,highlander limited 4wd,2005.0,281058,휘발유,자동,6,사륜구동,중형,SUV,흰색,훌륭함,7798800
24324,jeep,grand cherokee limited,2013.0,114012,휘발유,자동,6,사륜구동,중형,SUV,검은색,새거같음,21596400
24325,gmc,sierra 1500,2017.0,89571,휘발유,자동,8,사륜구동,대형,트럭,빨간색,새거같음,47996400
24326,gmc,canyon crew cab,2017.0,79804,휘발유,자동,4,사륜구동,중형,트럭,빨간색,새거같음,39596400
24327,nissan,rogue sl,2015.0,79161,휘발유,자동,4,후륜구동,중형,SUV,검은색,새거같음,19196400
24328,dodge,journey sxt,2017.0,70118,휘발유,자동,6,후륜구동,중형,SUV,빨간색,새거같음,19196400
24329,mercedes-benz,benz c300 4matic,2012.0,164118,휘발유,자동,6,사륜구동,중형,세단,검은색,훌륭함,14400000
24330,chevrolet,silverado,2015.0,94430,휘발유,자동,6,사륜구동,대형,트럭,은색,새거같음,32396400
24331,gmc,sierra 1500 slt,2015.0,82285,휘발유,자동,8,사륜구동,대형,트럭,회색,새거같음,44396400
24332,chrysler,sebring,2009.0,242959,휘발유,자동,4,후륜구동,중형,컨버터블,흰색,훌륭함,4740000
24333,chrysler,200,2012.0,119066,휘발유,자동,4,후륜구동,중형,컨버터블,회색,훌륭함,8400000
24334,lincoln,mkz hybrid,2011.0,155904,하이브리드,자동,4,후륜구동,대형,세단,파란색,훌륭함,9420000
24335,chevrolet,impala lt,2013.0,101367,휘발유,자동,6,후륜구동,대형,세단,빨간색,새거같음,8940000
24336,dodge,caliber,2010.0,115848,휘발유,자동,4,후륜구동,준중형,해치백,은색,훌륭함,6600000
24337,chrysler,200 limited 4dr sedan,2015.0,139983,휘발유,자동,4,후륜구동,중형,세단,검은색,새거같음,11400000
24338,lincoln,mkz,2013.0,78841,휘발유,자동,4,후륜구동,중형,세단,흰색,훌륭함,14400000
24339,ford,transit cargo van,2012.0,260658,휘발유,자동,4,후륜구동,중형,밴,흰색,좋음,7200000
24340,lincoln,mkz 4dr sdn awd,2013.0,109412,휘발유,자동,4,사륜구동,대형,세단,회색,새거같음,13800000
24341,lincoln,mkz,2016.0,106190,휘발유,자동,4,후륜구동,중형,세단,검은색,훌륭함,17400000
24342,ford,f350 c/c utility,2017.0,98149,휘발유,자동,8,전륜구동,대형,트럭,흰색,새거같음,36000000
24343,chevrolet,cruze lt,2017.0,47978,휘발유,자동,4,후륜구동,중형,세단,빨간색,새거같음,17996400
24344,dodge,avenger,2014.0,99758,휘발유,자동,6,후륜구동,중형,세단,빨간색,훌륭함,9000000
24345,nissan,altima s,2018.0,56315,휘발유,자동,4,후륜구동,대형,세단,파란색,훌륭함,8820000
24346,lincoln,mkz,2011.0,157682,휘발유,자동,6,후륜구동,중형,세단,검은색,훌륭함,9000000
24347,nissan,altima sr,2016.0,53097,휘발유,자동,4,후륜구동,대형,세단,검은색,훌륭함,8820000
24348,lincoln,mkz,2012.0,135960,휘발유,자동,6,사륜구동,중형,세단,흰색,좋음,10800000
24349,honda,civic,2008.0,189862,휘발유,수동,4,후륜구동,준중형,세단,은색,좋음,6600000
24350,dodge,grand caravan sxt,2019.0,67756,휘발유,자동,6,후륜구동,중형,미니밴,빨간색,새거같음,21596400
24351,honda,civic ext,2016.0,74979,휘발유,자동,4,후륜구동,준중형,세단,은색,훌륭함,19200000
24352,ford,escape se,2013.0,175862,휘발유,자동,4,후륜구동,중형,SUV,흰색,새거같음,13800000
24353,jeep,wrangler unlimited,2012.0,173466,휘발유,자동,6,사륜구동,대형,SUV,노란색,새거같음,26358000
24354,dodge,challenger r/t v8 hemi,2015.0,69187,휘발유,수동,8,전륜구동,대형,쿠페,빨간색,훌륭함,28800000
24355,toyota,sequoia,2020.0,27353,휘발유,수동,8,사륜구동,대형,SUV,흰색,훌륭함,60000000
24356,bmw,750li,2006.0,260658,휘발유,자동,8,전륜구동,대형,세단,회색,훌륭함,10200000
24357,ford,taurus se,2005.0,150885,휘발유,자동,6,후륜구동,중형,세단,빨간색,좋음,4080000
24358,ford,fusion,2017.0,26768,휘발유,자동,4,후륜구동,중형,세단,빨간색,새거같음,17400000
24359,chevrolet,silverado,2011.0,172163,휘발유,자동,8,사륜구동,대형,오프로드,빨간색,좋음,17940000
24360,ram,cummins 2500 laramie,2016.0,2413500,경유,자동,6,사륜구동,대형,픽업트럭,회색,훌륭함,54000000
24361,ford,thunderbird coupe,1965.0,173772,휘발유,자동,8,전륜구동,대형,쿠페,흰색,훌륭함,11760000
24362,chevrolet,equinox ltz,2011.0,123893,휘발유,자동,4,후륜구동,중형,SUV,회색,좋음,11400000
24363,nissan,rogue,2013.0,99758,휘발유,자동,4,후륜구동,중형,SUV,검은색,좋음,10680000
24364,buick,encore,2018.0,30456,휘발유,자동,4,후륜구동,중형,SUV,빨간색,새거같음,20396400
24365,chrysler,200,2011.0,141738,휘발유,자동,6,후륜구동,중형,세단,검은색,훌륭함,8396400
24366,gmc,acadia denali,2015.0,83167,휘발유,자동,6,후륜구동,중형,SUV,은색,새거같음,28796400
24367,subaru,outback,2018.0,30571,휘발유,자동,4,사륜구동,대형,해치백,검은색,새거같음,27120000
24368,buick,lacrosse,2005.0,267094,휘발유,자동,6,후륜구동,대형,세단,흰색,훌륭함,4560000
24369,chevrolet,colorado z71,2016.0,56426,휘발유,자동,6,사륜구동,중형,트럭,파란색,새거같음,35996400
24370,gmc,sierra 1500,2017.0,89571,휘발유,자동,8,사륜구동,대형,트럭,빨간색,새거같음,47996400
24371,ford,fiesta,2013.0,25744,휘발유,수동,4,후륜구동,준중형,세단,은색,새거같음,7620000
24372,bmw,z4,2005.0,112630,휘발유,수동,6,후륜구동,중형,컨버터블,검은색,훌륭함,8700000
24373,ford,mustang,2004.0,321800,휘발유,자동,6,전륜구동,대형,해치백,빨간색,좋음,1800000
24374,gmc,yukon,2010.0,252613,휘발유,기타,8,사륜구동,대형,SUV,흰색,좋음,10800000
24375,ford,shelby gt500,2007.0,3403,휘발유,기타,8,전륜구동,중형,쿠페,빨간색,좋음,47880000
24376,ford,escape se,2014.0,257440,휘발유,자동,4,후륜구동,중형,SUV,흰색,훌륭함,8394000
24377,infiniti,jx35,2013.0,138374,휘발유,자동,6,후륜구동,중형,SUV,회색,훌륭함,17880000
24378,dodge,charger,2010.0,231696,휘발유,자동,8,전륜구동,대형,세단,흰색,훌륭함,11400000
24379,mitsubishi,lancer hatchback,2010.0,183426,휘발유,자동,4,후륜구동,중형,해치백,빨간색,훌륭함,7080000
24380,dodge,avenger sxt,2009.0,278357,하이브리드,자동,6,사륜구동,중형,세단,검은색,좋음,1080000
24381,chevrolet,silverado 3500hd,2013.0,117457,휘발유,자동,8,사륜구동,대형,트럭,흰색,훌륭함,28200000
24382,lincoln,town car signature,1988.0,138374,휘발유,자동,8,전륜구동,대형,세단,흰색,좋음,4800000
24383,ford,flex sel awd,2013.0,293642,휘발유,자동,6,사륜구동,중형,SUV,갈색,훌륭함,10560000
24384,gmc,terrain,2016.0,143659,휘발유,자동,6,후륜구동,대형,SUV,갈색,새거같음,18600000
24385,chevrolet,camaro ss,2010.0,46419,휘발유,자동,8,전륜구동,대형,쿠페,빨간색,훌륭함,24900000
24386,gmc,acadia,2014.0,128446,휘발유,자동,6,후륜구동,대형,SUV,빨간색,훌륭함,17580000
24387,hyundai,santa fe sport,2013.0,161263,휘발유,자동,4,후륜구동,중형,SUV,은색,훌륭함,13320000
24388,gmc,acadia,2012.0,178550,휘발유,자동,6,후륜구동,대형,SUV,흰색,훌륭함,11994000
24389,ford,explorer,2014.0,183239,휘발유,자동,6,사륜구동,대형,SUV,검은색,훌륭함,20994000
24390,chevrolet,silverado 3500,2005.0,347252,경유,자동,8,사륜구동,대형,트럭,빨간색,훌륭함,22794000
24391,chevrolet,traverse,2010.0,266936,휘발유,자동,6,후륜구동,대형,SUV,은색,훌륭함,9594000
24392,ford,super duty f-350 srw,2000.0,577592,경유,자동,8,사륜구동,대형,트럭,기타,훌륭함,16194000
24393,ram,1500,2016.0,140533,경유,자동,6,사륜구동,대형,트럭,은색,훌륭함,27474000
24394,ford,escape,2017.0,197337,휘발유,자동,4,후륜구동,대형,SUV,은색,훌륭함,14994000
24395,gmc,sierra 1500,2015.0,269674,휘발유,자동,8,사륜구동,대형,트럭,은색,훌륭함,28434000
24396,dodge,dakota,2008.0,255269,휘발유,자동,8,사륜구동,대형,트럭,은색,훌륭함,12834000
24397,chevrolet,silverado 1500,2014.0,181319,휘발유,자동,8,사륜구동,대형,트럭,검은색,훌륭함,32394000
24398,ram,3500,2008.0,193422,경유,수동,6,전륜구동,대형,트럭,빨간색,훌륭함,22194000
24399,ford,super duty f-350 srw,2003.0,141794,경유,자동,8,사륜구동,대형,트럭,빨간색,훌륭함,15474000
24400,ford,super duty f-250 srw,2008.0,323972,경유,자동,8,사륜구동,대형,트럭,빨간색,훌륭함,15594000
24401,ram,3500,2006.0,93957,경유,자동,6,사륜구동,대형,트럭,빨간색,좋음,53256000
24402,acura,tl 3.2,2007.0,281575,휘발유,자동,6,후륜구동,중형,세단,빨간색,훌륭함,7080000
24403,toyota,camry le,2015.0,146901,휘발유,자동,4,후륜구동,중형,세단,검은색,훌륭함,14760000
24404,ford,ranger sport,2007.0,135880,휘발유,자동,6,전륜구동,중형,트럭,빨간색,훌륭함,10080000
24405,ford,super duty f-550 drw,2012.0,364303,경유,자동,8,사륜구동,대형,트럭,흰색,훌륭함,26280000
